Census Block,FY22 Count,FY23 Count,FY24 Count,Grand Total
421010001021013,,3,,3
421010003001012,10,,,10
421010008011003,,3,,3
421010008011004,,1,,1
421010008012006,,8,,8
421010008012007,,2,,2
421010008031003,1,,,1
421010008032005,1,,,1
421010008032006,4,,,4
421010009022010,5,,,5
421010010024006,8,,,8
421010010024007,6,,,6
421010011013014,2,,,2
421010012011003,,2,,2
421010012011011,,8,,8
421010012011012,,16,,16
421010012011013,,12,,12
421010012011015,3,,,3
421010012011016,1,,,1
421010012013004,5,,,5
421010012013005,5,,,5
421010012014010,,4,,4
421010012014011,,4,,4
421010012014012,,1,,1
421010013011000,2,,,2
421010013011003,1,,,1
421010013022000,11,,,11
421010013022006,8,,,8
421010014001003,3,,,3
421010014001004,2,,,2
421010014002001,,14,,14
421010014002002,,7,,7
421010015001000,1,,,1
421010015001002,1,5,,6
421010015001003,3,,,3
421010015001005,5,5,,10
421010015002000,2,,,2
421010015002027,9,,,9
421010015002028,11,,,11
421010015002029,3,,,3
421010015002030,4,,,4
421010018001010,10,,,10
421010018001011,9,,,9
421010018001018,4,,,4
421010018001019,3,,,3
421010018001026,,4,,4
421010018001027,,1,,1
421010019002003,1,,,1
421010019002007,2,,,2
421010019003003,5,,,5
421010019003009,7,,,7
421010020001017,,,4,4
421010020002016,,,3,3
421010021001002,,,4,4
421010021001004,,,8,8
421010021001005,,,2,2
421010021001006,,,4,4
421010021001013,,,1,1
421010021002002,,,2,2
421010021002003,,,1,1
421010021002008,,,3,3
421010021002013,,,2,2
421010021002015,,,1,1
421010021002016,,,6,6
421010021002021,,,2,2
421010022001000,,,4,4
421010022001003,,,1,1
421010022002001,,,1,1
421010022002006,,,1,1
421010022003008,,,1,1
421010022003009,,,3,3
421010022003010,,,3,3
421010022003011,,,1,1
421010022003012,,,3,3
421010023002002,,2,,2
421010023002003,,1,,1
421010023002004,,6,,6
421010023002005,,10,,10
421010025001006,2,,,2
421010025001007,2,,,2
421010025002001,,,3,3
421010027011000,,,5,5
421010027011001,,,7,7
421010027012001,,2,,2
421010027012002,,3,,3
421010027012003,,2,,2
421010027012004,,2,,2
421010027012014,,1,,1
421010027012015,,2,,2
421010027012018,,,5,5
421010027021003,9,,,9
421010027021010,1,,,1
421010027021012,1,,,1
421010027021015,,,4,4
421010027022016,,,8,8
421010027022029,,,3,3
421010027022033,,1,,1
421010028012001,5,,,5
421010028012002,3,,,3
421010028022008,3,,,3
421010028022009,1,,,1
421010028022016,3,,,3
421010028023016,,6,,6
421010028023017,,5,,5
421010029002000,,1,,1
421010029002003,,1,,1
421010029002007,,1,1,2
421010029002008,,3,2,5
421010029002009,,2,,2
421010029002010,,2,,2
421010029003012,,10,,10
421010029003013,,6,,6
421010029003016,16,,,16
421010029003018,7,,,7
421010030014004,,,1,1
421010030014007,,,5,5
421010030023002,1,,,1
421010030024001,,,4,4
421010030024002,,,4,4
421010030024009,,,2,2
421010031001000,3,,,3
421010031001003,,,5,5
421010031001004,,,3,3
421010031001008,,,2,2
421010031001009,,,2,2
421010031001014,1,,,1
421010031006000,,,4,4
421010031006003,,,3,3
421010031006004,,,5,5
421010032001004,,,1,1
421010032001006,,,1,1
421010032001007,,,1,1
421010032001008,,,2,2
421010032004006,,,3,3
421010032005000,,,1,1
421010032006005,,,4,4
421010033001006,,,2,2
421010033001008,,,1,1
421010033001009,,,2,2
421010033002007,,,2,2
421010033003004,,,1,1
421010033005002,,1,1,2
421010033006003,,,1,1
421010033006007,,,1,1
421010036001007,,,4,4
421010036001008,,,2,2
421010036002007,,,1,1
421010036003028,,,3,3
421010036003029,,,1,1
421010036004001,,,12,12
421010036004002,,,14,14
421010036004010,1,,,1
421010037011000,,,1,1
421010037011005,,,1,1
421010037011009,,,4,4
421010037013003,,,2,2
421010037014001,,1,,1
421010037014005,,,3,3
421010037014006,,,5,5
421010037014007,,,2,2
421010037015003,,,1,1
421010037015009,,,2,2
421010037021008,,,10,10
421010037022001,,,3,3
421010037022004,,,2,2
421010037022005,,,7,7
421010037022006,,,6,6
421010037022009,,,1,1
421010037022010,,,6,6
421010037022011,,,3,3
421010037022012,,,3,3
421010037023001,,,2,2
421010038003002,,,1,1
421010038003003,,,6,6
421010038004000,,,6,6
421010038005000,,,11,11
421010038005006,,,4,4
421010038005009,,,2,2
421010038005011,,,13,13
421010038005012,,,8,8
421010039011003,,,2,2
421010039011012,,2,,2
421010039011013,,1,,1
421010039014000,,,1,1
421010039014003,,,5,5
421010039014004,,,1,1
421010040012001,1,,,1
421010040021010,1,,,1
421010040021012,1,,,1
421010040021013,4,,,4
421010040022003,1,,,1
421010040022005,3,,,3
421010041011002,,4,,4
421010041011003,,1,,1
421010041011004,,2,,2
421010041011005,,,3,3
421010041013004,,,1,1
421010041014002,,,1,1
421010041015005,,,1,1
421010041032015,,2,,2
421010041041004,,,2,2
421010041041005,,,2,2
421010041041007,,,6,6
421010041041008,,,1,1
421010041042009,,,3,3
421010041042010,,,4,4
421010041042012,,,6,6
421010041042013,,2,7,9
421010041042014,,4,,4
421010041042015,2,,,2
421010041042016,1,,,1
421010042011001,2,,4,6
421010042011003,1,,,1
421010042011004,,,5,5
421010042012001,,1,,1
421010042012003,,,1,1
421010042012004,,,2,2
421010042012005,,,3,3
421010042012006,,,1,1
421010042012010,,,1,1
421010042012012,,,7,7
421010042012014,,,1,1
421010042012016,,,2,2
421010042013004,,1,2,3
421010042013006,,3,2,5
421010042014000,2,,2,4
421010042014001,3,,1,4
421010042014002,3,,,3
421010042014005,,,1,1
421010042014006,,,7,7
421010042014009,,,1,1
421010042014010,,,1,1
421010042014013,,,1,1
421010042014015,,,2,2
421010042021014,,,1,1
421010042021016,,,3,3
421010042022000,,,5,5
421010042022001,,,1,1
421010042023000,,,2,2
421010042023001,,,5,5
421010042023002,,,2,2
421010042023003,,,1,1
421010042023004,,,2,2
421010042023005,,,1,1
421010042023006,,,2,2
421010042023007,,,5,5
421010042023008,,,1,1
421010042024001,,,3,3
421010042024003,,,8,8
421010042024006,,,6,6
421010055001017,2,,,2
421010055004001,1,,,1
421010060001011,1,,,1
421010061001001,1,,,1
421010061001008,,1,,1
421010061002003,4,,,4
421010061002004,,3,,3
421010063002002,,,1,1
421010064001009,1,,,1
421010064003027,1,,,1
421010065001000,,5,,5
421010065003020,,1,,1
421010067003002,,5,,5
421010067003005,,1,,1
421010067003026,,1,,1
421010067004006,1,,,1
421010067004008,,,9,9
421010067004014,,,4,4
421010070002000,,,1,1
421010070002001,,,1,1
421010071011000,2,,,2
421010071011001,3,1,,4
421010071013006,,,3,3
421010071021002,,,4,4
421010071023001,1,,,1
421010071024000,,,4,4
421010071025003,,,1,1
421010072001010,,,2,2
421010072003000,,,3,3
421010072003001,,,1,1
421010072004004,,,3,3
421010072006000,,,1,1
421010073002002,4,,,4
421010073002003,9,,,9
421010073003003,1,,,1
421010073004000,,,2,2
421010073004008,,,2,2
421010074002010,,4,,4
421010074002011,,6,,6
421010074003005,,6,,6
421010074004008,,,2,2
421010074005003,,5,,5
421010074005004,,4,,4
421010077002008,,1,,1
421010078001003,1,,,1
421010078003003,3,,,3
421010078005001,1,,,1
421010079001004,1,,,1
421010079002001,1,,,1
421010079003000,1,,,1
421010079004005,1,,,1
421010080001003,3,,,3
421010080002000,1,,,1
421010080004004,7,,,7
421010080004007,5,,,5
421010080004009,,,1,1
421010081012011,,1,3,4
421010081012012,,,3,3
421010081012019,,,4,4
421010081012020,,,5,5
421010081022003,,,2,2
421010081023005,,,4,4
421010081023010,,,2,2
421010081023011,,,3,3
421010081024008,,,4,4
421010081024010,,,2,2
421010081024011,,,2,2
421010082001002,1,,,1
421010082001003,,,1,1
421010082002000,,,1,1
421010082003007,,,5,5
421010082004002,1,,,1
421010082005000,,,2,2
421010082007001,1,,,1
421010083011008,5,,,5
421010083011009,1,,,1
421010083012005,1,,,1
421010083013001,,,3,3
421010083013003,,,5,5
421010083013009,,,2,2
421010083021005,,,1,1
421010083022013,,,3,3
421010083022014,,,8,8
421010083022015,,,9,9
421010083022016,,,5,5
421010083022017,,,3,3
421010083023001,,,2,2
421010083023008,,,3,3
421010083023009,,,3,3
421010084001007,,,2,2
421010084001012,,,2,2
421010084001013,,,3,3
421010084006003,,,2,2
421010084006004,,,4,4
421010085002001,,,1,1
421010085002002,,,2,2
421010085002003,2,,,2
421010085003001,,,3,3
421010085003003,,,4,4
421010085003008,,,4,4
421010085005005,,,2,2
421010085006002,,,1,1
421010085006003,,,2,2
421010085006006,,,10,10
421010085007007,,,2,2
421010085007008,,,1,1
421010085007010,,,3,3
421010085007015,,,1,1
421010085007016,,,3,3
421010086012000,6,,,6
421010086012002,,1,,1
421010086021015,6,,,6
421010086023003,,1,,1
421010087011000,1,,,1
421010087023005,1,,,1
421010090002004,4,,,4
421010090002005,1,,,1
421010090002006,5,,,5
421010090003004,3,,,3
421010091001002,2,,,2
421010091002004,1,,,1
421010093001005,4,4,,8
421010093003006,,,2,2
421010093004002,,6,,6
421010093004004,,,2,2
421010093004005,,,1,1
421010094003000,,,3,3
421010094003001,,,3,3
421010095003005,,,1,1
421010095003007,,,1,1
421010096001010,,,2,2
421010096001011,,,1,1
421010096002003,,,4,4
421010096003000,,,1,1
421010096003004,11,,,11
421010096003005,7,3,2,12
421010096004000,,,7,7
421010096004001,,,6,6
421010100001011,,,7,7
421010101004000,1,,,1
421010101004008,3,,2,5
421010101006000,1,,,1
421010101007000,,10,,10
421010101007001,,7,,7
421010102003008,,,1,1
421010102003012,,,7,7
421010104001015,,,2,2
421010104001018,,,2,2
421010106002008,,,1,1
421010107003001,,1,,1
421010107003005,,1,,1
421010108001018,6,,,6
421010109001005,,1,,1
421010109002003,,1,,1
421010109003003,7,,,7
421010109003004,3,,,3
421010110002000,,34,,34
421010111003016,1,,,1
421010112003001,,,3,3
421010112003003,,,5,5
421010112004008,,,4,4
421010112007001,,,3,3
421010113003005,1,,,1
421010114002003,1,,,1
421010114005001,,7,,7
421010114005002,,5,,5
421010118001004,,5,,5
421010120001002,1,,,1
421010120001003,,5,,5
421010120001007,,3,,3
421010122043004,3,,,3
421010132004006,,2,,2
421010133001024,,7,,7
421010133002001,,5,,5
421010133002002,,1,,1
421010133003002,,13,,13
421010133003003,,12,,12
421010133003004,,3,,3
421010133003007,,5,,5
421010134012000,6,,,6
421010134012001,13,,,13
421010134012002,5,,,5
421010134012003,5,,,5
421010134012004,2,,,2
421010134021005,1,,,1
421010134022004,,2,,2
421010134022005,,3,,3
421010135001003,4,,,4
421010135002006,4,,,4
421010140001011,2,,,2
421010140001032,1,,,1
421010140001033,8,,,8
421010142011010,,8,,8
421010142012003,,4,,4
421010142012004,,9,,9
421010147002008,6,,,6
421010148001000,18,,,18
421010148001001,8,,,8
421010148001016,,3,,3
421010149003007,,4,,4
421010149004000,,5,,5
421010149004002,,,6,6
421010149006003,2,,,2
421010151011010,4,,,4
421010151021002,,,1,1
421010151021007,,,1,1
421010151021008,,,4,4
421010151021014,,,5,5
421010151021017,,,7,7
421010151022003,,,4,4
421010151022004,,,2,2
421010151023013,,,3,3
421010151023014,,,6,6
421010153002004,,,2,2
421010158001015,,3,,3
421010158005006,2,,,2
421010158006005,2,,,2
421010158006006,,6,,6
421010160011003,4,,,4
421010160011004,1,,,1
421010160011017,3,,,3
421010160011018,2,,,2
421010160012005,1,,,1
421010160025011,3,,,3
421010160025012,1,,,1
421010160025013,3,,,3
421010161001011,,2,,2
421010161001014,,5,,5
421010161001020,,1,,1
421010161001021,,2,,2
421010162002005,2,,,2
421010162002006,3,,,3
421010167021004,3,,,3
421010167021005,2,,,2
421010167023006,,,1,1
421010167023017,2,,,2
421010167023018,1,,,1
421010168001003,,,1,1
421010168001004,,,1,1
421010168001011,1,,,1
421010168001012,,,2,2
421010168001014,3,,,3
421010168001015,1,,,1
421010169011011,,,4,4
421010169011015,,,2,2
421010169012000,1,,,1
421010169022019,,,4,4
421010169024003,,,3,3
421010169024005,,,1,1
421010169024012,,,2,2
421010169024014,,,3,3
421010169024015,,,1,1
421010171001000,2,,,2
421010171002001,,,3,3
421010171002002,7,,,7
421010171002003,4,,,4
421010171002006,,,3,3
421010171002007,,,1,1
421010171002008,1,,2,3
421010171003008,,,3,3
421010171003009,,,1,1
421010171003020,,,1,1
421010171003031,,,2,2
421010172013013,,,1,1
421010172021001,,,2,2
421010172021002,,,2,2
421010172021003,,,1,1
421010172021005,3,,,3
421010172021006,2,,,2
421010172021008,,,14,14
421010172021009,,,6,6
421010172022000,,,7,7
421010172022001,,,2,2
421010172022003,,,2,2
421010172022004,,,1,1
421010172023000,,,1,1
421010172024000,,,1,1
421010172024001,,,1,1
421010172024005,,,4,4
421010173001007,,,3,3
421010173003015,,,2,2
421010175002004,2,,,2
421010175002005,2,,,2
421010175004003,6,,,6
421010175004004,1,,,1
421010177012003,,,1,1
421010177022001,,2,,2
421010177022002,,1,,1
421010177023000,,,3,3
421010177025010,,,4,4
421010179003001,,1,,1
421010180011002,,3,,3
421010180011005,,3,,3
421010180011006,,1,,1
421010180021009,5,,,5
421010180022003,1,,,1
421010180022004,1,,,1
421010180022007,2,,,2
421010183001003,,12,,12
421010183001004,,3,,3
421010183001006,,8,,8
421010183002000,,,4,4
421010183003017,5,,,5
421010183003020,,,3,3
421010183003021,3,,,3
421010188011004,4,,,4
421010188013001,,,3,3
421010188013002,,,4,4
421010190001001,1,,,1
421010191002008,,2,,2
421010192001005,,,3,3
421010192002006,,,1,1
421010195011005,,,6,6
421010195012003,,,1,1
421010195012008,,,1,1
421010195012009,3,,3,6
421010195012013,1,,,1
421010195021017,,,2,2
421010197001010,1,,,1
421010197003003,,,4,4
421010197003004,,,3,3
421010197004003,,,7,7
421010197004004,,,5,5
421010197006000,,,4,4
421010197006001,,,6,6
421010197006002,,,5,5
421010197006005,,,10,10
421010198001002,3,,,3
421010198001010,,,2,2
421010198005002,,,2,2
421010198005003,,,4,4
421010198005005,,,4,4
421010199002002,3,,3,6
421010199002003,4,,1,5
421010199002004,4,,1,5
421010199003000,,,3,3
421010200001002,5,,,5
421010200002002,,,2,2
421010201021000,,,5,5
421010201021001,,,3,3
421010201021002,,,1,1
421010201024003,1,,,1
421010201024004,2,,1,3
421010201024005,,,1,1
421010201024008,,,7,7
421010201024009,,,6,6
421010202003010,,,4,4
421010202003011,,,21,21
421010202003012,,,16,16
421010202003015,,,1,1
421010202003021,,,1,1
421010203001007,,,1,1
421010203001011,,,1,1
421010203002002,2,,,2
421010203002003,,,2,2
421010203002007,,,1,1
421010203002011,,,2,2
421010203002014,4,,,4
421010203002016,3,,,3
421010203002024,5,,,5
421010204002007,,,4,4
421010204003009,4,,,4
421010205002015,,3,,3
421010205002016,,3,,3
421010207012001,,23,,23
421010207012002,,38,,38
421010207012003,,6,,6
421010207012007,,6,,6
421010207012009,,7,,7
421010210004001,3,,,3
421010214005002,3,,,3
421010217004000,4,,,4
421010217004003,1,,,1
421010217004004,8,,,8
421010217004005,5,,,5
421010217004006,1,,,1
421010217004009,4,,,4
421010219001006,1,,,1
421010242003000,3,,,3
421010242003001,4,,,4
421010244002004,3,,,3
421010244002005,1,,,1
421010249001006,9,,,9
421010252004000,,7,,7
421010252004005,,6,,6
421010252007001,,3,,3
421010255001000,7,,,7
421010255001001,7,,,7
421010255001004,,5,,5
421010255001005,,3,,3
421010255001006,,6,,6
421010255003000,,7,,7
421010255003001,,4,,4
421010257004002,2,,,2
421010258001005,,1,,1
421010258001012,,3,,3
421010259001002,1,,,1
421010262004011,3,,,3
421010263021007,,7,,7
421010263022001,,2,,2
421010263023000,,,3,3
421010263024002,4,,,4
421010263024003,3,,,3
421010263024005,6,,,6
421010263024007,6,,,6
421010263024010,,,1,1
421010264003011,5,,,5
421010264003013,2,,,2
421010264003014,5,,,5
421010266001002,4,,,4
421010266001004,3,,,3
421010266001006,3,,,3
421010266001007,7,,,7
421010266001008,5,,,5
421010266001009,4,,,4
421010266002006,12,,,12
421010266002013,4,,,4
421010266003008,4,,,4
421010266003014,2,,,2
421010266003018,4,,,4
421010266003020,1,,,1
421010267001003,,,4,4
421010267001004,,,1,1
421010267001008,,,3,3
421010267001009,,,1,1
421010267001012,,,4,4
421010267001018,,,7,7
421010267001019,,,6,6
421010267002002,,,1,1
421010267002006,,,1,1
421010267002008,1,,,1
421010267002009,,,2,2
421010267002010,4,,1,5
421010267002015,,,1,1
421010267002016,,,1,1
421010267003002,,,3,3
421010267003003,,,5,5
421010267004008,,,3,3
421010267004009,,,16,16
421010267004010,,,9,9
421010268003000,,2,,2
421010268003002,,2,,2
421010268003008,,1,,1
421010269002012,4,,,4
421010270001000,1,,,1
421010270001002,4,,,4
421010270001003,2,,,2
421010270002012,,,2,2
421010274022012,3,,,3
421010274023008,,,1,1
421010274023011,,,1,1
421010274023013,,,1,1
421010276002000,,,1,1
421010276002002,,,2,2
421010276003003,,,1,1
421010277001002,,,1,1
421010277001004,,1,,1
421010277001005,,4,,4
421010277002005,,,1,1
421010277004000,,,2,2
421010277004004,,,1,1
421010277005003,,,1,1
421010277005009,,,1,1
421010280003005,,9,,9
421010280003012,,,2,2
421010280004007,3,,,3
421010280004009,2,,,2
421010280004010,2,,,2
421010281001000,,5,,5
421010281001001,,5,,5
421010281002007,,7,,7
421010282002003,,,1,1
421010282003007,,,1,1
421010283001001,,,1,1
421010283001002,,,3,3
421010283002001,,,2,2
421010283002002,,,4,4
421010283003003,,,1,1
421010283003004,,,1,1
421010283003008,,,3,3
421010283007006,,,5,5
421010283007008,,,1,1
421010284001004,,,3,3
421010285001003,,,5,5
421010285001004,,,6,6
421010285001016,,,3,3
421010286001006,1,,1,2
421010286001007,,,1,1
421010286001009,,,1,1
421010286001015,1,,,1
421010286002000,,,3,3
421010286003003,,,1,1
421010286003004,,,1,1
421010286003005,,,1,1
421010286003008,,,1,1
421010286003010,,,1,1
421010286003011,,,5,5
421010286003012,,,2,2
421010286003013,,,7,7
421010286004003,,,1,1
421010287001021,2,,,2
421010287001022,2,,,2
421010288001000,,,7,7
421010288001018,,,1,1
421010288002003,8,,,8
421010289011000,,,1,1
421010289023004,,,1,1
421010289023005,,,1,1
421010290001000,,9,,9
421010290001001,,5,,5
421010290001005,,,5,5
421010291001004,,,6,6
421010291001005,,,7,7
421010292002022,,1,,1
421010292003005,,4,,4
421010293002019,,,3,3
421010293002020,,,5,5
421010293002021,,,6,6
421010294003001,,,8,8
421010294003002,,,4,4
421010300001016,,,3,3
421010301004006,,,1,1
421010302002005,,1,,1
421010302002006,,11,,11
421010302002010,,3,,3
421010302003000,,3,,3
421010302003001,,7,,7
421010305011006,,2,1,3
421010305011008,,,3,3
421010305011009,,,3,3
421010305013008,1,,,1
421010305013010,,,1,1
421010305024009,,,11,11
421010306002000,,,2,2
421010306003006,,1,,1
421010306003015,,,1,1
421010306003019,,,5,5
421010306004005,,,1,1
421010307001002,,,9,9
421010307001003,,,5,5
421010308001000,,4,2,6
421010308001001,,3,,3
421010308002000,,,5,5
421010308003005,,2,,2
421010308003010,,1,,1
421010308004000,,,1,1
421010308004003,,,8,8
421010308004004,,,7,7
421010308004005,,,1,1
421010310001011,,,1,1
421010310003003,1,,,1
421010310003015,,2,,2
421010310003018,,2,,2
421010310003019,,3,,3
421010310004008,,2,,2
421010310004009,,3,,3
421010311011001,1,,,1
421010311011007,,,5,5
421010311023003,,,6,6
421010311023004,,,8,8
421010311023005,,,3,3
421010311024002,,,4,4
421010311024005,,,1,1
421010311024007,,,5,5
421010311024008,,,3,3
421010311024010,,,1,1
421010312002001,1,,,1
421010312002002,,,3,3
421010312002003,,,5,5
421010312003002,,,1,1
421010312003003,,,1,1
421010313001013,,,2,2
421010313003001,,,7,7
421010313003002,,,4,4
421010314013008,,,1,1
421010315021006,,,7,7
421010315021018,,,2,2
421010315023000,,1,2,3
421010316002000,,,12,12
421010316002001,,,3,3
421010316002002,,,1,1
421010316003003,,,4,4
421010316003004,,,4,4
421010316005001,,,3,3
421010316005002,,,5,5
421010316006004,,,4,4
421010316007011,,,4,4
421010317004015,,,10,10
421010318001008,,,6,6
421010318001009,,,5,5
421010318001017,,,5,5
421010318001019,,,4,4
421010318001021,,,2,2
421010318003000,,,11,11
421010318004005,,2,,2
421010318004007,,,4,4
421010320005001,,,2,2
421010320005002,,,1,1
421010320005006,,,4,4
421010326001001,4,,,4
421010326001003,5,,,5
421010326002010,1,,,1
421010326002012,6,,,6
421010326002016,4,,,4
421010326002017,1,,,1
421010329001005,1,,,1
421010329001014,,,1,1
421010329001015,,,1,1
421010329001019,,,2,2
421010330001005,,1,,1
421010330007007,,,1,1
421010331011005,1,,,1
421010331023000,1,,,1
421010331023001,1,,,1
421010333002006,,5,,5
421010333003003,,5,,5
421010334001008,,,1,1
421010334004001,,,2,2
421010334004002,,1,,1
421010335002014,,,1,1
421010335002023,,3,,3
421010335002026,,2,,2
421010336002008,4,,,4
421010336003002,,3,,3
421010336003009,,2,,2
421010336003010,,3,,3
421010336004001,,3,,3
421010336004005,,1,,1
421010337024005,,2,,2
421010337024006,,3,,3
421010338001018,,2,,2
421010338001023,5,,,5
421010338002002,,2,,2
421010338002016,,2,,2
421010338003000,,2,,2
421010338003001,3,,,3
421010338003002,3,,,3
421010338003004,2,,,2
421010338003005,1,,,1
421010341001002,,6,,6
421010341001003,,6,,6
421010341001004,,3,,3
421010341002008,7,2,,9
421010341004014,3,,,3
421010341004015,1,,,1
421010344001010,,2,,2
421010344001013,,1,,1
421010344002007,4,,,4
421010344002009,6,,,6
421010344003005,,5,,5
421010344003010,,5,,5
421010344003017,7,,,7
421010344004015,,1,,1
421010345022004,,,2,2
421010348021005,1,,,1
421010348032006,,1,,1
421010348032007,,1,,1
421010349001009,,1,,1
421010351002003,,,4,4
421010352002005,1,,,1
421010352002006,4,,,4
421010352002009,3,,,3
421010352003000,,2,,2
421010352003001,,5,,5
421010353011008,5,,,5
421010353011009,1,,,1
421010353011010,3,,,3
421010353013001,3,,,3
421010353013003,2,,,2
421010353021001,,,1,1
421010353021002,,,7,7
421010355001017,,,4,4
421010355002019,2,,,2
421010356013001,,3,,3
421010356021004,1,,,1
421010356021005,,1,,1
421010356021006,1,,,1
421010357022004,,4,,4
421010357022005,,2,,2
421010358003004,,3,,3
421010358003005,,4,,4
421010358003008,3,,,3
421010358003010,2,,,2
421010359001000,2,3,,5
421010359001007,2,,,2
421010359001008,2,,,2
421010360001006,,4,,4
421010360001007,,,2,2
421010360001011,,1,,1
421010360002003,,,2,2
421010360002004,,,4,4
421010360002011,3,2,,5
421010360002012,6,,,6
421010360002014,,,2,2
421010360002016,,7,,7
421010362011005,1,,,1
421010362014000,1,,3,4
421010362014001,,,5,5
421010362014003,,,7,7
421010362014004,,,3,3
421010362021002,,1,,1
421010363022004,,,1,1
421010365021005,,4,,4
421010365021016,3,,,3
421010365022004,2,,,2
421010365022005,,9,,9
421010377002033,2,,,2
421010379001001,3,,,3
421010379003025,3,,,3
421010379005008,4,,,4
421010379005011,1,1,,2
421010382001007,4,,,4
421010382002009,1,,,1
421010382002011,3,,,3
421010382002012,,,2,2
421010382002013,,,1,1
421010382002014,,,1,1
421010382003010,,,1,1
421010382003017,,,2,2
421010382003031,,,2,2
421010382003032,,,1,1
421010383011008,3,,,3
421010387001023,2,,,2
421010388004006,1,,,1
421010389002000,1,,,1
421010389002001,1,,,1
421010389002014,2,,,2
421010389003006,1,,,1
421010390011018,,,2,2
421019893001001,,2,,2
Grand Total,973,857,1547,3377
